C:\Users\user\Desktop\COVID>python train.py --batch-size 12 --epochs 30 
Train : 12 [600/1000 (60%)]     Loss: 0.000010
Train : 12 [720/1000 (71%)]     Loss: 0.000054
Train : 12 [840/1000 (83%)]     Loss: 0.000083
Train : 12 [960/1000 (95%)]     Loss: 0.000085
Train : 13 [0/1000 (0%)]        Loss: 0.000040
Train : 13 [120/1000 (12%)]     Loss: 0.001017
Train : 13 [240/1000 (24%)]     Loss: 0.000027
Train : 13 [360/1000 (36%)]     Loss: 0.000047
Train : 13 [480/1000 (48%)]     Loss: 0.000008
Train : 13 [600/1000 (60%)]     Loss: 0.000100
Train : 13 [720/1000 (71%)]     Loss: 0.000168
Train : 13 [840/1000 (83%)]     Loss: 0.000138
Train : 13 [960/1000 (95%)]     Loss: 0.000054
Train : 14 [0/1000 (0%)]        Loss: 0.000012
Train : 14 [120/1000 (12%)]     Loss: 0.000073
Train : 14 [240/1000 (24%)]     Loss: 0.000134
Train : 14 [360/1000 (36%)]     Loss: 0.000165
Train : 14 [480/1000 (48%)]     Loss: 0.000020
Train : 14 [600/1000 (60%)]     Loss: 0.000047
Train : 14 [720/1000 (71%)]     Loss: 0.000946
Train : 14 [840/1000 (83%)]     Loss: 0.000006
Train : 14 [960/1000 (95%)]     Loss: 0.000019
Train : 15 [0/1000 (0%)]        Loss: 0.000079
Train : 15 [120/1000 (12%)]     Loss: 0.000035
Train : 15 [240/1000 (24%)]     Loss: 0.000068
Train : 15 [360/1000 (36%)]     Loss: 0.000020
Train : 15 [480/1000 (48%)]     Loss: 0.000068
Train : 15 [600/1000 (60%)]     Loss: 0.000230
Train : 15 [720/1000 (71%)]     Loss: 0.000036
Train : 15 [840/1000 (83%)]     Loss: 0.000010
Train : 15 [960/1000 (95%)]     Loss: 0.000008
Train : 16 [0/1000 (0%)]        Loss: 0.000070
Train : 16 [120/1000 (12%)]     Loss: 0.000018
Train : 16 [240/1000 (24%)]     Loss: 0.000208
Train : 16 [360/1000 (36%)]     Loss: 0.000029
Train : 16 [480/1000 (48%)]     Loss: 0.000005
Train : 16 [600/1000 (60%)]     Loss: 0.000011
Train : 16 [720/1000 (71%)]     Loss: 0.000046
Train : 16 [840/1000 (83%)]     Loss: 0.000011
Train : 16 [960/1000 (95%)]     Loss: 0.000022
Train : 17 [0/1000 (0%)]        Loss: 0.000039
Train : 17 [120/1000 (12%)]     Loss: 0.000049
Train : 17 [240/1000 (24%)]     Loss: 0.000011
Train : 17 [360/1000 (36%)]     Loss: 0.000040
Train : 17 [480/1000 (48%)]     Loss: 0.000411
Train : 17 [600/1000 (60%)]     Loss: 0.000029
Train : 17 [720/1000 (71%)]     Loss: 0.000081
Train : 17 [840/1000 (83%)]     Loss: 0.000051
Train : 17 [960/1000 (95%)]     Loss: 0.000021
Train : 18 [0/1000 (0%)]        Loss: 0.000350
Train : 18 [120/1000 (12%)]     Loss: 0.000013
Train : 18 [240/1000 (24%)]     Loss: 0.000053
Train : 18 [360/1000 (36%)]     Loss: 0.000023
Train : 18 [480/1000 (48%)]     Loss: 0.013876
Train : 18 [600/1000 (60%)]     Loss: 0.000027
Train : 18 [720/1000 (71%)]     Loss: 0.000003
Train : 18 [840/1000 (83%)]     Loss: 0.000002
Train : 18 [960/1000 (95%)]     Loss: 0.000234
Train : 19 [0/1000 (0%)]        Loss: 0.000005
Train : 19 [120/1000 (12%)]     Loss: 0.000021
Train : 19 [240/1000 (24%)]     Loss: 0.001807
Train : 19 [360/1000 (36%)]     Loss: 0.000017
Train : 19 [480/1000 (48%)]     Loss: 0.000003
Train : 19 [600/1000 (60%)]     Loss: 0.000003
Train : 19 [720/1000 (71%)]     Loss: 0.000031
Train : 19 [840/1000 (83%)]     Loss: 0.000006
Train : 19 [960/1000 (95%)]     Loss: 0.000291
Train : 20 [0/1000 (0%)]        Loss: 0.000034
Train : 20 [120/1000 (12%)]     Loss: 0.000005
Train : 20 [240/1000 (24%)]     Loss: 0.000034
Train : 20 [360/1000 (36%)]     Loss: 0.000015
Train : 20 [480/1000 (48%)]     Loss: 0.000109
Train : 20 [600/1000 (60%)]     Loss: 0.000474
Train : 20 [720/1000 (71%)]     Loss: 0.000042
Train : 20 [840/1000 (83%)]     Loss: 0.000004
Train : 20 [960/1000 (95%)]     Loss: 0.000014
Train : 21 [0/1000 (0%)]        Loss: 0.000117
Train : 21 [120/1000 (12%)]     Loss: 0.000003
Train : 21 [240/1000 (24%)]     Loss: 0.000000
Train : 21 [360/1000 (36%)]     Loss: 0.000084
Train : 21 [480/1000 (48%)]     Loss: 0.000015
Train : 21 [600/1000 (60%)]     Loss: 0.000003
Train : 21 [720/1000 (71%)]     Loss: 0.000004
Train : 21 [840/1000 (83%)]     Loss: 0.000184
Train : 21 [960/1000 (95%)]     Loss: 0.000002
Train : 22 [0/1000 (0%)]        Loss: 0.000037
Train : 22 [120/1000 (12%)]     Loss: 0.000022
Train : 22 [240/1000 (24%)]     Loss: 0.000002
Train : 22 [360/1000 (36%)]     Loss: 0.000001
Train : 22 [480/1000 (48%)]     Loss: 0.000094
Train : 22 [600/1000 (60%)]     Loss: 0.000010
Train : 22 [720/1000 (71%)]     Loss: 0.000012
Train : 22 [840/1000 (83%)]     Loss: 0.000001
Train : 22 [960/1000 (95%)]     Loss: 0.000009
Train : 23 [0/1000 (0%)]        Loss: 0.000001
Train : 23 [120/1000 (12%)]     Loss: 0.000009
Train : 23 [240/1000 (24%)]     Loss: 0.000000
Train : 23 [360/1000 (36%)]     Loss: 0.000087
Train : 23 [480/1000 (48%)]     Loss: 0.000001
Train : 23 [600/1000 (60%)]     Loss: 0.000001
Train : 23 [720/1000 (71%)]     Loss: 0.000001
Train : 23 [840/1000 (83%)]     Loss: 0.000000
Train : 23 [960/1000 (95%)]     Loss: 0.000002
Train : 24 [0/1000 (0%)]        Loss: 0.000004
Train : 24 [120/1000 (12%)]     Loss: 0.000044
Train : 24 [240/1000 (24%)]     Loss: 0.000000
Train : 24 [360/1000 (36%)]     Loss: 0.000003
Train : 24 [480/1000 (48%)]     Loss: 0.000006
Train : 24 [600/1000 (60%)]     Loss: 0.000005
Train : 24 [720/1000 (71%)]     Loss: 0.000001
Train : 24 [840/1000 (83%)]     Loss: 0.000001
Train : 24 [960/1000 (95%)]     Loss: 0.000007
Train : 25 [0/1000 (0%)]        Loss: 0.000005
Train : 25 [120/1000 (12%)]     Loss: 0.000001
Train : 25 [240/1000 (24%)]     Loss: 0.000001
Train : 25 [360/1000 (36%)]     Loss: 0.000004
Train : 25 [480/1000 (48%)]     Loss: 0.000003
Train : 25 [600/1000 (60%)]     Loss: 0.000001
Train : 25 [720/1000 (71%)]     Loss: 0.000001
Train : 25 [840/1000 (83%)]     Loss: 0.000000
Train : 25 [960/1000 (95%)]     Loss: 0.000000
Train : 26 [0/1000 (0%)]        Loss: 0.000006
Train : 26 [120/1000 (12%)]     Loss: 0.000001
Train : 26 [240/1000 (24%)]     Loss: 0.000001
Train : 26 [360/1000 (36%)]     Loss: 0.000015
Train : 26 [480/1000 (48%)]     Loss: 0.000001
Train : 26 [600/1000 (60%)]     Loss: 0.000001
Train : 26 [720/1000 (71%)]     Loss: 0.000000
Train : 26 [840/1000 (83%)]     Loss: 0.000006
Train : 26 [960/1000 (95%)]     Loss: 0.000003
Train : 27 [0/1000 (0%)]        Loss: 0.000003
Train : 27 [120/1000 (12%)]     Loss: 0.000002
Train : 27 [240/1000 (24%)]     Loss: 0.000000
Train : 27 [360/1000 (36%)]     Loss: 0.000001
Train : 27 [480/1000 (48%)]     Loss: 0.000000
Train : 27 [600/1000 (60%)]     Loss: 0.000008
Train : 27 [720/1000 (71%)]     Loss: 0.000000
Train : 27 [840/1000 (83%)]     Loss: 0.000007
Train : 27 [960/1000 (95%)]     Loss: 0.000000
Train : 28 [0/1000 (0%)]        Loss: 0.000000
Train : 28 [120/1000 (12%)]     Loss: 0.000002
Train : 28 [240/1000 (24%)]     Loss: 0.000004
Train : 28 [360/1000 (36%)]     Loss: 0.000000
